#Mode: 20
#              1                2                3                4                5                6                7                8                9               10               11               12               13 
#      Time (fs)          Sin 1 0          Sin 2 0          Sin 3 0         Tri 1 -1         Tri 2 -1         Tri 3 -1          Tri 1 0          Tri 2 0          Tri 3 0          Tri 1 1          Tri 2 1          Tri 3 1 
     0.000000000      0.000000000      0.922316411      0.077683589      0.000000000      0.000000000      0.000000000      0.000000000      0.000000000      0.000000000      0.000000000      0.000000000      0.000000000 
     0.500000000      0.000000000      0.922282561      0.077696748      0.000000642      0.000008827      0.000000565      0.000000000      0.000000000      0.000000624      0.000000642      0.000008827      0.000000565 
     1.000000000      0.000000000      0.922193649      0.077728147      0.000002137      0.000033485      0.000002245      0.000000000      0.000000000      0.000002473      0.000002137      0.000033485      0.000002245 
     1.500000000      0.000000000      0.922047104      0.077791760      0.000003500      0.000069337      0.000004994      0.000000000      0.000000000      0.000005475      0.000003500      0.000069337      0.000004994 
     2.000000000      0.000000000      0.921831767      0.077912858      0.000003924      0.000110267      0.000008736      0.000000000      0.000000000      0.000009520      0.000003924      0.000110267      0.000008736 
     2.500000000      0.000000000      0.921501546      0.078150473      0.000003402      0.000150009      0.000013364      0.000000000      0.000000000      0.000014430      0.000003402      0.000150009      0.000013364 
     3.000000000      0.000000000      0.920935403      0.078635375      0.000002710      0.000183184      0.000018743      0.000000000      0.000000000      0.000019946      0.000002710      0.000183184      0.000018743 
     3.500000000      0.000000000      0.921042090      0.078465322      0.000002731      0.000206148      0.000024551      0.000000000      0.000000000      0.000025729      0.000002731      0.000206148      0.000024551 
     4.000000000      0.000000000      0.921287261      0.078178819      0.000003809      0.000216914      0.000030558      0.000000000      0.000000000      0.000031359      0.000003809      0.000216914      0.000030558 
     4.500000000      0.000000000      0.921829249      0.077619406      0.000005527      0.000215550      0.000036412      0.000000000      0.000000000      0.000036367      0.000005527      0.000215550      0.000036412 
     5.000000000      0.000000000      0.922431877      0.077022515      0.000007091      0.000203780      0.000041791      0.000000000      0.000000000      0.000040285      0.000007091      0.000203780      0.000041791 
     5.500000000      0.000000000      0.923636039      0.075846122      0.000007767      0.000183626      0.000046229      0.000000000      0.000000000      0.000042595      0.000007767      0.000183626      0.000046229 
     6.000000000      0.000000000      0.925199446      0.074327804      0.000007376      0.000158071      0.000049408      0.000000000      0.000000000      0.000043041      0.000007376      0.000158071      0.000049408 
     6.500000000      0.000000000      0.927182682      0.072401998      0.000006165      0.000129681      0.000051042      0.000000000      0.000000000      0.000041543      0.000006165      0.000129681      0.000051042 
     7.000000000      0.000000000      0.929627773      0.070020806      0.000004636      0.000100949      0.000050965      0.000000000      0.000000000      0.000038322      0.000004636      0.000100949      0.000050965 
     7.500000000      0.000000000      0.932520899      0.067191269      0.000003306      0.000074490      0.000049168      0.000000000      0.000000000      0.000033903      0.000003306      0.000074490      0.000049168 
     8.000000000      0.000000000      0.935753359      0.064014873      0.000002537      0.000053007      0.000045818      0.000000000      0.000000000      0.000029045      0.000002537      0.000053007      0.000045818 
     8.500000000      0.000000000      0.939092973      0.060717495      0.000002477      0.000038775      0.000041236      0.000000000      0.000000000      0.000024554      0.000002477      0.000038775      0.000041236 
     9.000000000      0.000000000      0.942201132      0.057634185      0.000003108      0.000032858      0.000035852      0.000000000      0.000000000      0.000021047      0.000003108      0.000032858      0.000035852 
     9.500000000      0.000000000      0.944694111      0.055149232      0.000004332      0.000034506      0.000030119      0.000000000      0.000000000      0.000018741      0.000004332      0.000034506      0.000030119 
    10.000000000      0.000000000      0.946247285      0.053591960      0.000006059      0.000041192      0.000024434      0.000000000      0.000000000      0.000017385      0.000006059      0.000041192      0.000024434 
    10.500000000      0.000000000      0.946710193      0.053120004      0.000008211      0.000049397      0.000019090      0.000000000      0.000000000      0.000016406      0.000008211      0.000049397      0.000019090 
    11.000000000      0.000000000      0.946187128      0.053635966      0.000010702      0.000055856      0.000014274      0.000000000      0.000000000      0.000015243      0.000010702      0.000055856      0.000014274 
