 
  Energy       1     5.7840614152E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    6   ->     7     0.99936818     5.75864697
    5   ->     7     0.03554215     6.34559086
    4   ->    12     0.00002784    31.61726046
    1   ->    12     0.00002522    41.75934058
    2   ->    12     0.00000618    35.35244396
    3   ->    11     0.00000565    25.82062959
    6   ->     8     0.00000284    15.61679198
    3   ->     8     0.00000250    19.01308076
    2   ->     9     0.00000250    24.43111010
    4   ->     9     0.00000166    20.69592660
    3   ->     7     0.00000062     9.15493575
    3   ->    10     0.00000062    23.78976542
    4   ->    10     0.00000052    22.85267417
    2   ->    10     0.00000022    26.58785768
    6   ->    11     0.00000016    22.42434081
    1   ->    10     0.00000013    32.99475429
    1   ->     9     0.00000007    30.83800672
    4   ->    11     0.00000005    24.88353834
    2   ->     8     0.00000000    21.81117302
    1   ->    11     0.00000000    35.02561846
    4   ->     7     0.00000000     8.21784450
    5   ->    11     0.00000000    23.01128470
    6   ->    10     0.00000000    20.39347664
    3   ->    12     0.00000000    32.55435170
    5   ->     8     0.00000000    16.20373587
    1   ->     8     0.00000000    28.21806963
    5   ->    10     0.00000000    20.98042053
    2   ->    11     0.00000000    28.61872185
    6   ->    12     0.00000000    29.15806292
    6   ->     9     0.00000000    18.23672906
    3   ->     9     0.00000000    21.63301784
    5   ->    12     0.00000000    29.74500682
    5   ->     9     0.00000000    18.82367296
    2   ->     7     0.00000000    11.95302801
    4   ->     8     0.00000000    18.07598951
    1   ->     7     0.00000000    18.35992462
 
  Energy       2     7.9340614263E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    5   ->     7     0.99948292     6.34559086
    6   ->     7     0.02917853     5.75864697
    4   ->    12     0.00940019    31.61726046
    1   ->    12     0.00797124    41.75934058
    6   ->     8     0.00471138    15.61679198
    2   ->    12     0.00210882    35.35244396
    3   ->     7     0.00131520     9.15493575
    3   ->    11     0.00100348    25.82062959
    4   ->    10     0.00088652    22.85267417
    6   ->    11     0.00041361    22.42434081
    2   ->     9     0.00034608    24.43111010
    3   ->     8     0.00030639    19.01308076
    4   ->     9     0.00019092    20.69592660
    3   ->    10     0.00010812    23.78976542
    5   ->     8     0.00005338    16.20373587
    4   ->    11     0.00005050    24.88353834
    4   ->     7     0.00004415     8.21784450
    2   ->    10     0.00002278    26.58785768
    1   ->     9     0.00001585    30.83800672
    6   ->    10     0.00001068    20.39347664
    1   ->    10     0.00000823    32.99475429
    5   ->    11     0.00000550    23.01128470
    4   ->     8     0.00000308    18.07598951
    2   ->    11     0.00000300    28.61872185
    3   ->    12     0.00000100    32.55435170
    6   ->    12     0.00000023    29.15806292
    1   ->     8     0.00000014    28.21806963
    5   ->    10     0.00000007    20.98042053
    1   ->    11     0.00000007    35.02561846
    5   ->    12     0.00000004    29.74500682
    2   ->     8     0.00000002    21.81117302
    6   ->     9     0.00000001    18.23672906
    2   ->     7     0.00000000    11.95302801
    5   ->     9     0.00000000    18.82367296
    3   ->     9     0.00000000    21.63301784
    1   ->     7     0.00000000    18.35992462
 
  Energy       3     8.2183394777E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    4   ->     7     1.00000000     8.21784450
    5   ->     7     0.00002427     6.34559086
    6   ->    10     0.00000458    20.39347664
    4   ->     8     0.00000340    18.07598951
    3   ->     9     0.00000239    21.63301784
    6   ->     9     0.00000164    18.23672906
    2   ->    11     0.00000134    28.61872185
    1   ->     8     0.00000079    28.21806963
    6   ->     7     0.00000078     5.75864697
    3   ->    10     0.00000074    23.78976542
    4   ->    11     0.00000063    24.88353834
    4   ->    12     0.00000034    31.61726046
    6   ->    11     0.00000031    22.42434081
    5   ->    10     0.00000031    20.98042053
    1   ->    12     0.00000028    41.75934058
    5   ->     9     0.00000010    18.82367296
    3   ->     7     0.00000008     9.15493575
    2   ->    10     0.00000008    26.58785768
    2   ->    12     0.00000007    35.35244396
    6   ->     8     0.00000005    15.61679198
    2   ->     8     0.00000004    21.81117302
    5   ->    11     0.00000002    23.01128470
    3   ->    12     0.00000002    32.55435170
    6   ->    12     0.00000001    29.15806292
    2   ->     9     0.00000001    24.43111010
    1   ->     7     0.00000000    18.35992462
    1   ->     9     0.00000000    30.83800672
    4   ->    10     0.00000000    22.85267417
    4   ->     9     0.00000000    20.69592660
    5   ->    12     0.00000000    29.74500682
    3   ->     8     0.00000000    19.01308076
    1   ->    10     0.00000000    32.99475429
    2   ->     7     0.00000000    11.95302801
    1   ->    11     0.00000000    35.02561846
    5   ->     8     0.00000000    16.20373587
    3   ->    11     0.00000000    25.82062959
 
  Energy       4     9.1576648873E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    3   ->     7     0.99999983     9.15493575
    5   ->     7     0.00057571     6.34559086
    6   ->     8     0.00002260    15.61679198
    4   ->    12     0.00002202    31.61726046
    6   ->     7     0.00002110     5.75864697
    1   ->    12     0.00001636    41.75934058
    3   ->     8     0.00000644    19.01308076
    2   ->    12     0.00000537    35.35244396
    1   ->     9     0.00000214    30.83800672
    3   ->    11     0.00000098    25.82062959
    2   ->     9     0.00000081    24.43111010
    4   ->     9     0.00000064    20.69592660
    6   ->    11     0.00000049    22.42434081
    5   ->     8     0.00000040    16.20373587
    2   ->    10     0.00000028    26.58785768
    4   ->    10     0.00000016    22.85267417
    1   ->    10     0.00000016    32.99475429
    6   ->    10     0.00000015    20.39347664
    5   ->    11     0.00000010    23.01128470
    3   ->    10     0.00000005    23.78976542
    5   ->    10     0.00000002    20.98042053
    2   ->    11     0.00000001    28.61872185
    4   ->    11     0.00000001    24.88353834
    4   ->     7     0.00000001     8.21784450
    1   ->    11     0.00000000    35.02561846
    2   ->     8     0.00000000    21.81117302
    3   ->    12     0.00000000    32.55435170
    6   ->    12     0.00000000    29.15806292
    3   ->     9     0.00000000    21.63301784
    1   ->     8     0.00000000    28.21806963
    4   ->     8     0.00000000    18.07598951
    5   ->    12     0.00000000    29.74500682
    2   ->     7     0.00000000    11.95302801
    6   ->     9     0.00000000    18.23672906
    5   ->     9     0.00000000    18.82367296
    1   ->     7     0.00000000    18.35992462
 
  Energy       5     1.1953451394E+01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    2   ->     7     1.00000000    11.95302801
    3   ->     9     0.00000352    21.63301784
    6   ->    10     0.00000288    20.39347664
    2   ->     8     0.00000267    21.81117302
    6   ->     9     0.00000203    18.23672906
    4   ->    11     0.00000097    24.88353834
    1   ->     8     0.00000033    28.21806963
    3   ->    10     0.00000026    23.78976542
    5   ->    10     0.00000019    20.98042053
    1   ->    11     0.00000018    35.02561846
    6   ->    11     0.00000011    22.42434081
    5   ->     9     0.00000011    18.82367296
    4   ->    10     0.00000008    22.85267417
    4   ->     8     0.00000008    18.07598951
    2   ->    11     0.00000005    28.61872185
    6   ->     8     0.00000003    15.61679198
    3   ->    12     0.00000002    32.55435170
    1   ->    10     0.00000002    32.99475429
    3   ->    11     0.00000001    25.82062959
    6   ->    12     0.00000001    29.15806292
    5   ->    11     0.00000001    23.01128470
    3   ->     8     0.00000000    19.01308076
    5   ->     8     0.00000000    16.20373587
    1   ->     7     0.00000000    18.35992462
    4   ->     9     0.00000000    20.69592660
    5   ->     7     0.00000000     6.34559086
    5   ->    12     0.00000000    29.74500682
    4   ->    12     0.00000000    31.61726046
    1   ->    12     0.00000000    41.75934058
    2   ->    10     0.00000000    26.58785768
    6   ->     7     0.00000000     5.75864697
    2   ->     9     0.00000000    24.43111010
    2   ->    12     0.00000000    35.35244396
    3   ->     7     0.00000000     9.15493575
    4   ->     7     0.00000000     8.21784450
    1   ->     9     0.00000000    30.83800672
 
  Energy       6     1.5968374132E+01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    6   ->     8     0.99363474    15.61679198
    5   ->     8     0.11258401    16.20373587
    3   ->     8     0.00270469    19.01308076
    4   ->    10     0.00196014    22.85267417
    4   ->    12     0.00092686    31.61726046
    6   ->    11     0.00089950    22.42434081
    4   ->     9     0.00075045    20.69592660
    5   ->     7     0.00062336     6.34559086
    2   ->    10     0.00056859    26.58785768
    1   ->    12     0.00049197    41.75934058
    2   ->     9     0.00038678    24.43111010
    1   ->     9     0.00034087    30.83800672
    6   ->    10     0.00033475    20.39347664
    2   ->    12     0.00021659    35.35244396
    4   ->     8     0.00020287    18.07598951
    3   ->    11     0.00016335    25.82062959
    3   ->    10     0.00005628    23.78976542
    5   ->    11     0.00004187    23.01128470
    4   ->    11     0.00002906    24.88353834
    6   ->     7     0.00002394     5.75864697
    1   ->    10     0.00001991    32.99475429
    5   ->    10     0.00001779    20.98042053
    2   ->     8     0.00001678    21.81117302
    2   ->    11     0.00000673    28.61872185
    6   ->     9     0.00000652    18.23672906
    3   ->     7     0.00000261     9.15493575
    1   ->     8     0.00000154    28.21806963
    3   ->     9     0.00000100    21.63301784
    1   ->    11     0.00000037    35.02561846
    5   ->     9     0.00000032    18.82367296
    3   ->    12     0.00000015    32.55435170
    6   ->    12     0.00000004    29.15806292
