# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.12544482E+01 -0.15503132E+01 -0.29586500E+00  0.34281905E+01
       2 -0.20987531E+01 -0.23714255E+01 -0.27267239E+00  0.34281905E+01
       3 -0.41984825E+01 -0.26065974E+01  0.15918851E+01  0.34281905E+01
       4 -0.76478050E+01 -0.28068014E+01  0.48410037E+01  0.34281905E+01
       5 -0.79616839E+01 -0.56197868E+01  0.23418971E+01  0.34281905E+01
       6 -0.81593165E+01 -0.61455589E+01  0.20137577E+01  0.34281905E+01
       7 -0.83265011E+01 -0.64173572E+01  0.19091438E+01  0.34281905E+01
       8 -0.85832178E+01 -0.65889374E+01  0.19942805E+01  0.34281905E+01
       9 -0.87107527E+01 -0.67503359E+01  0.19604168E+01  0.34281905E+01
      10 -0.88341316E+01 -0.68453012E+01  0.19888303E+01  0.34281905E+01
      11 -0.88923781E+01 -0.69494664E+01  0.19429116E+01  0.34281905E+01
      12 -0.89512788E+01 -0.70250739E+01  0.19262049E+01  0.34281905E+01
      13 -0.91282664E+01 -0.70925593E+01  0.20357071E+01  0.34281905E+01
      14 -0.91837278E+01 -0.71374856E+01  0.20462422E+01  0.34281905E+01
      15 -0.92528636E+01 -0.71755131E+01  0.20773504E+01  0.34281905E+01
      16 -0.93298307E+01 -0.72098537E+01  0.21199770E+01  0.34281905E+01
      17 -0.93835210E+01 -0.72452422E+01  0.21382788E+01  0.34281905E+01
      18 -0.94493762E+01 -0.72892629E+01  0.21601133E+01  0.34281905E+01
      19 -0.95209435E+01 -0.73307284E+01  0.21902151E+01  0.34281905E+01
      20 -0.96009519E+01 -0.73555153E+01  0.22454366E+01  0.34281905E+01
      21 -0.96290170E+01 -0.73748807E+01  0.22541363E+01  0.34281905E+01
      22 -0.96677669E+01 -0.73910100E+01  0.22767568E+01  0.34281905E+01
      23 -0.97052517E+01 -0.74144903E+01  0.22907615E+01  0.34281905E+01
      24 -0.97540443E+01 -0.74383506E+01  0.23156937E+01  0.34281905E+01
      25 -0.97991155E+01 -0.74577235E+01  0.23413919E+01  0.34281905E+01
      26 -0.98467611E+01 -0.74826485E+01  0.23641127E+01  0.34281905E+01
      27 -0.98861525E+01 -0.75043061E+01  0.23818465E+01  0.34281905E+01
      28 -0.99148766E+01 -0.75146625E+01  0.24002142E+01  0.34281905E+01
      29 -0.99550412E+01 -0.75342731E+01  0.24207680E+01  0.34281905E+01
      30 -0.99988637E+01 -0.75612869E+01  0.24375767E+01  0.34281905E+01
      31 -0.10059312E+02 -0.75810756E+01  0.24782367E+01  0.34281905E+01
      32 -0.10093460E+02 -0.76045636E+01  0.24888959E+01  0.34281905E+01
      33 -0.10123155E+02 -0.76269726E+01  0.24961827E+01  0.34281905E+01
      34 -0.10148495E+02 -0.76370420E+01  0.25114528E+01  0.34281905E+01
      35 -0.10182817E+02 -0.76527033E+01  0.25301137E+01  0.34281905E+01
      36 -0.10213365E+02 -0.76684213E+01  0.25449441E+01  0.34281905E+01
      37 -0.10236241E+02 -0.76812010E+01  0.25550405E+01  0.34281905E+01
      38 -0.10299642E+02 -0.77152392E+01  0.25844026E+01  0.34281905E+01
      39 -0.10344219E+02 -0.77295466E+01  0.26146727E+01  0.34281905E+01
      40 -0.10381081E+02 -0.77463265E+01  0.26347546E+01  0.34281905E+01
      41 -0.10414800E+02 -0.77648989E+01  0.26499011E+01  0.34281905E+01
      42 -0.10455001E+02 -0.77818030E+01  0.26731981E+01  0.34281905E+01
      43 -0.10515761E+02 -0.78147112E+01  0.27010502E+01  0.34281905E+01
      44 -0.10545039E+02 -0.78259299E+01  0.27191095E+01  0.34281905E+01
      45 -0.10572557E+02 -0.78419228E+01  0.27306341E+01  0.34281905E+01
      46 -0.10614358E+02 -0.78598225E+01  0.27545353E+01  0.34281905E+01
      47 -0.10648136E+02 -0.78709935E+01  0.27771425E+01  0.34281905E+01
      48 -0.10672612E+02 -0.78816608E+01  0.27909511E+01  0.34281905E+01
      49 -0.10715931E+02 -0.79020853E+01  0.28138456E+01  0.34281905E+01
      50 -0.10743854E+02 -0.79147046E+01  0.28291497E+01  0.34281905E+01
      51 -0.10795336E+02 -0.79307586E+01  0.28645774E+01  0.34281905E+01
      52 -0.10817636E+02 -0.79399911E+01  0.28776446E+01  0.34281905E+01
      53 -0.10853245E+02 -0.79593839E+01  0.28938608E+01  0.34281905E+01
      54 -0.10878485E+02 -0.79688211E+01  0.29096641E+01  0.34281905E+01
      55 -0.10907388E+02 -0.79797217E+01  0.29276666E+01  0.34281905E+01
      56 -0.10933158E+02 -0.79907336E+01  0.29424242E+01  0.34281905E+01
      57 -0.10951443E+02 -0.80013046E+01  0.29501382E+01  0.34281905E+01
      58 -0.10964955E+02 -0.80062722E+01  0.29586830E+01  0.34281905E+01
