#Mode: 20
#              1                2                3                4                5                6                7                8                9               10               11               12               13 
#      Time (fs)          Sin 1 0          Sin 2 0          Sin 3 0         Tri 1 -1         Tri 2 -1         Tri 3 -1          Tri 1 0          Tri 2 0          Tri 3 0          Tri 1 1          Tri 2 1          Tri 3 1 
     0.000000000      0.000000000      0.886851141      0.113148859      0.000000000      0.000000000      0.000000000      0.000000000      0.000000000      0.000000000      0.000000000      0.000000000      0.000000000 
     0.500000000      0.000000000      0.886807448      0.113170965      0.000000921      0.000000813      0.000008802      0.000000000      0.000000515      0.000000000      0.000000921      0.000000813      0.000008802 
     1.000000000      0.000000000      0.886452570      0.113463912      0.000002742      0.000003150      0.000034854      0.000000000      0.000002026      0.000000000      0.000002742      0.000003150      0.000034854 
     1.500000000      0.000000000      0.885279682      0.114540500      0.000003758      0.000006731      0.000077201      0.000000000      0.000004439      0.000000000      0.000003758      0.000006731      0.000077201 
     2.000000000      0.000000000      0.882612400      0.117082758      0.000003443      0.000011144      0.000134033      0.000000000      0.000007602      0.000000000      0.000003443      0.000011144      0.000134033 
     2.500000000      0.000000000      0.877686421      0.121859503      0.000002873      0.000015930      0.000202581      0.000000000      0.000011308      0.000000000      0.000002873      0.000015930      0.000202581 
     3.000000000      0.000000000      0.869840830      0.129537418      0.000003369      0.000020669      0.000279193      0.000000000      0.000015291      0.000000000      0.000003369      0.000020669      0.000279193 
     3.500000000      0.000000000      0.858576136      0.140624145      0.000005328      0.000025038      0.000359869      0.000000000      0.000019247      0.000000000      0.000005328      0.000025038      0.000359869 
     4.000000000      0.000000000      0.843639167      0.155381684      0.000008393      0.000028783      0.000440969      0.000000000      0.000022860      0.000000000      0.000008393      0.000028783      0.000440969 
     4.500000000      0.000000000      0.824787814      0.174060963      0.000012207      0.000031827      0.000518668      0.000000000      0.000025819      0.000000000      0.000012207      0.000031827      0.000518668 
     5.000000000      0.000000000      0.802079903      0.196611512      0.000016674      0.000034077      0.000589621      0.000000000      0.000027841      0.000000000      0.000016674      0.000034077      0.000589621 
     5.500000000      0.000000000      0.776117100      0.222438276      0.000021801      0.000035440      0.000650683      0.000000000      0.000028776      0.000000000      0.000021801      0.000035440      0.000650683 
     6.000000000      0.000000000      0.747841157      0.250607850      0.000027615      0.000035745      0.000697849      0.000000000      0.000028573      0.000000000      0.000027615      0.000035745      0.000697850 
     6.500000000      0.000000000      0.718273037      0.280101687      0.000034240      0.000034906      0.000729828      0.000000000      0.000027330      0.000000000      0.000034240      0.000034905      0.000729828 
     7.000000000      0.000000000      0.688397150      0.309935975      0.000041895      0.000032964      0.000745946      0.000000000      0.000025264      0.000000000      0.000041895      0.000032964      0.000745947 
     7.500000000      0.000000000      0.659903378      0.338418587      0.000050802      0.000030120      0.000746756      0.000000000      0.000022678      0.000000000      0.000050802      0.000030120      0.000746757 
     8.000000000      0.000000000      0.633425764      0.364909754      0.000061222      0.000026787      0.000734274      0.000000000      0.000019916      0.000000000      0.000061222      0.000026787      0.000734275 
